team,elo
Melbourne,1634.46204633399
Essendon,1484.08008100881
West Coast,1416.82409262466
Fremantle,1446.37832798817
Collingwood,1491.88999956126
Geelong,1538.29745875618
GWS,1466.92186380599
Gold Coast,1449.72547390781
Carlton,1493.01262541455
Hawthorn,1534.51663564295
Brisbane Lions,1582.20387620343
North Melbourne,1425.86969793386
Adelaide,1412.47312822672
Port Adelaide,1505.1425187544
St Kilda,1511.11191028842
Richmond,1495.55776609235
Western Bulldogs,1530.25553474627
Sydney,1581.28138190722
