"","season","round_number","team","elo"
"1",2000,1,"Carlton",1551.95422423461
"2",2000,1,"Brisbane Lions",1696.99101876872
"3",2000,1,"Hawthorn",1508.70463072924
"4",2000,1,"Collingwood",1432.80559888904
"5",2000,1,"Fremantle",1391.77501128139
"6",2000,1,"Geelong",1493.63191216087
"7",2000,1,"Richmond",1452.94602747169
"8",2000,1,"Melbourne",1374.82587372168
"9",2000,1,"Essendon",1633.54266862045
"10",2000,1,"Port Adelaide",1456.40214602679
"11",2000,1,"St Kilda",1472.31428482748
"12",2000,1,"Sydney",1515.16626990929
"13",2000,1,"North Melbourne",1641.00453773682
"14",2000,1,"West Coast",1466.26439647487
"15",2000,1,"Adelaide",1441.65454411938
"16",2000,1,"Western Bulldogs",1556.84559324731
"17",2000,2,"Collingwood",1483.49796105646
"18",2000,2,"Adelaide",1437.00555515572
"19",2000,2,"Western Bulldogs",1561.56957534263
"20",2000,2,"Brisbane Lions",1600.00138868351
"21",2000,2,"Port Adelaide",1447.8034963118
"22",2000,2,"Fremantle",1414.10900681838
"23",2000,2,"Carlton",1565.15397179712
"24",2000,2,"Hawthorn",1475.65645084602
"25",2000,2,"Melbourne",1408.4407380954
"26",2000,2,"North Melbourne",1581.92345252892
"27",2000,2,"Essendon",1625.45711737348
"28",2000,2,"Richmond",1458.29244214617
"29",2000,2,"Geelong",1501.65455188226
"30",2000,2,"St Kilda",1456.7712877992
"31",2000,2,"West Coast",1514.88676059713
"32",2000,2,"Sydney",1532.49485281823
"33",2000,3,"Hawthorn",1454.46596781508
"34",2000,3,"Brisbane Lions",1620.3945958006
"35",2000,3,"Collingwood",1488.9078944439
"36",2000,3,"Carlton",1586.34445482806
"37",2000,3,"Fremantle",1447.56743426069
"38",2000,3,"Essendon",1639.22441861243
"39",2000,3,"Adelaide",1431.59562176829
"40",2000,3,"Geelong",1526.97949623106
"41",2000,3,"Sydney",1542.12188461422
"42",2000,3,"Melbourne",1449.08812189553
"43",2000,3,"Richmond",1444.52514090721
"44",2000,3,"North Melbourne",1541.27606872879
"45",2000,3,"Western Bulldogs",1541.17636822555
"46",2000,3,"Port Adelaide",1414.34506886949
"47",2000,3,"St Kilda",1431.44634345041
"48",2000,3,"West Coast",1505.25972880115
"49",2000,4,"West Coast",1496.88723785034
"50",2000,4,"Adelaide",1431.57842728445
"51",2000,4,"Port Adelaide",1395.29650180721
"52",2000,4,"Brisbane Lions",1595.6930211118
"53",2000,4,"Western Bulldogs",1560.22493528782
"54",2000,4,"Carlton",1537.43839687979
"55",2000,4,"Sydney",1543.31234476527
"56",2000,4,"Collingwood",1537.81395239217
"57",2000,4,"Hawthorn",1479.16754250388
"58",2000,4,"Essendon",1647.80660468802
"59",2000,4,"Richmond",1426.73282133089
"60",2000,4,"Fremantle",1438.9852481851
"61",2000,4,"North Melbourne",1559.06838830511
"62",2000,4,"Geelong",1526.9966907149
"63",2000,4,"Melbourne",1447.89766174447
"64",2000,4,"St Kilda",1439.81883440121
"65",2000,5,"Brisbane Lions",1543.22645362585
"66",2000,5,"Adelaide",1399.27684187624
"67",2000,5,"Essendon",1662.8195950539
"68",2000,5,"Carlton",1510.0223077662
"69",2000,5,"Western Bulldogs",1587.6410244014
"70",2000,5,"Collingwood",1543.42104543669
"71",2000,5,"Port Adelaide",1447.76306929316
"72",2000,5,"Hawthorn",1464.15455213799
"73",2000,5,"Fremantle",1438.57501160782
"74",2000,5,"Melbourne",1486.08876456081
"75",2000,5,"St Kilda",1401.62773158487
"76",2000,5,"Richmond",1427.14305790817
"77",2000,5,"North Melbourne",1560.36056984769
"78",2000,5,"Sydney",1537.70525172076
"79",2000,5,"Geelong",1525.70450917232
"80",2000,5,"West Coast",1529.18882325855
"81",2000,6,"St Kilda",1381.69322377411
"82",2000,6,"Brisbane Lions",1552.94701892649
"83",2000,6,"Western Bulldogs",1574.68231120182
"84",2000,6,"Essendon",1667.76289786922
"85",2000,6,"West Coast",1490.15761288786
"86",2000,6,"Fremantle",1418.01828768666
"87",2000,6,"Adelaide",1389.5562765756
"88",2000,6,"Hawthorn",1492.30454317214
"89",2000,6,"Geelong",1564.735719543
"90",2000,6,"Melbourne",1506.64548848197
"91",2000,6,"Collingwood",1556.37975863627
"92",2000,6,"North Melbourne",1565.65098329343
"93",2000,6,"Carlton",1505.07900495088
"94",2000,6,"Port Adelaide",1419.613078259
"95",2000,6,"Sydney",1532.41483827502
"96",2000,6,"Richmond",1447.07756571893
"97",2000,7,"Port Adelaide",1390.09546223737
"98",2000,7,"Adelaide",1439.98144903587
"99",2000,7,"Fremantle",1386.43603501113
"100",2000,7,"Brisbane Lions",1564.72189186658
"101",2000,7,"Richmond",1462.66486277506
"102",2000,7,"Carlton",1534.59662097252
"103",2000,7,"Collingwood",1530.88542372852
"104",2000,7,"Essendon",1694.00852941648
"105",2000,7,"Sydney",1516.8275412189
"106",2000,7,"Geelong",1580.29345404484
"107",2000,7,"St Kilda",1369.91835083401
"108",2000,7,"North Melbourne",1591.14531820118
"109",2000,7,"Melbourne",1491.08775398014
"110",2000,7,"West Coast",1521.7398655634
"111",2000,7,"Hawthorn",1441.87937071188
"112",2000,7,"Western Bulldogs",1548.43667965456
"113",2000,8,"St Kilda",1380.77294260597
"114",2000,8,"Adelaide",1441.2066646722
"115",2000,8,"Brisbane Lions",1535.09527282072
"116",2000,8,"Essendon",1706.96029095633
"117",2000,8,"Collingwood",1517.93366218867
"118",2000,8,"Fremantle",1416.06265405699
"119",2000,8,"North Melbourne",1580.29072642922
"120",2000,8,"Hawthorn",1479.76962467542
"121",2000,8,"Port Adelaide",1388.87024660104
"122",2000,8,"Melbourne",1530.99018346196
"123",2000,8,"Geelong",1581.91801056884
"124",2000,8,"Richmond",1436.62410010379
"125",2000,8,"Carlton",1560.63738364378
"126",2000,8,"Sydney",1515.2029846949
"127",2000,8,"West Coast",1481.83743608158
"128",2000,8,"Western Bulldogs",1510.54642569102
"129",2000,9,"Fremantle",1447.48686568959
"130",2000,9,"Carlton",1587.80821283423
"131",2000,9,"Brisbane Lions",1516.54504806918
"132",2000,9,"Collingwood",1486.50945055607
"133",2000,9,"Melbourne",1537.66740443564
"134",2000,9,"Essendon",1725.51051570787
"135",2000,9,"Hawthorn",1527.41268967457
"136",2000,9,"Geelong",1528.44682583713
"137",2000,9,"Adelaide",1464.78207296678
"138",2000,9,"North Melbourne",1532.64766143007
"139",2000,9,"Sydney",1488.03215550444
"140",2000,9,"Port Adelaide",1382.19302562736
