game,date,round,home_team,home_goals,home_behinds,home_points,away_team,away_goals,away_behinds,away_points,venue,margin,season,round_type,round_number,match_id,actual_winner,actual_margin,prediction_odds,prediction_outcome,tip,prob,betting_implied,correct_tip
15984,2022-03-16,1,Melbourne,14,13,97,Western Bulldogs,11,5,71,M.C.G.,26,2022,Regular,1,R1-Melbourne-Western Bulldogs,Melbourne,26,0.587405249433582,1,Melbourne,58.7,$1.7,1
15985,2022-03-17,1,Carlton,14,17,101,Richmond,11,10,76,M.C.G.,25,2022,Regular,1,R1-Carlton-Richmond,Carlton,25,0.366451118421083,0,Richmond,63.4,$1.58,0
15986,2022-03-18,1,St Kilda,12,13,85,Collingwood,15,12,102,Docklands,-17,2022,Regular,1,R1-St Kilda-Collingwood,Collingwood,-17,0.679308610512484,1,St Kilda,67.9,$1.47,0
15987,2022-03-19,1,Geelong,20,18,138,Essendon,11,6,72,M.C.G.,66,2022,Regular,1,R1-Geelong-Essendon,Geelong,66,0.572880399166563,1,Geelong,57.3,$1.75,1
15988,2022-03-19,1,GWS,13,14,92,Sydney,17,10,112,Stadium Australia,-20,2022,Regular,1,R1-GWS-Sydney,Sydney,-20,0.453709475558886,0,Sydney,54.6,$1.83,1
15989,2022-03-19,1,Brisbane Lions,11,14,80,Port Adelaide,10,9,69,Gabba,11,2022,Regular,1,R1-Brisbane Lions-Port Adelaide,Brisbane Lions,11,0.594162124380652,1,Brisbane Lions,59.4,$1.68,1
15990,2022-03-20,1,Hawthorn,11,12,78,North Melbourne,8,10,58,M.C.G.,20,2022,Regular,1,R1-Hawthorn-North Melbourne,Hawthorn,20,0.656042512896873,1,Hawthorn,65.6,$1.52,1
15991,2022-03-20,1,Adelaide,12,10,82,Fremantle,11,17,83,Adelaide Oval,-1,2022,Regular,1,R1-Adelaide-Fremantle,Fremantle,-1,0.513319520199166,1,Adelaide,51.3,$1.95,0
15992,2022-03-20,1,West Coast,12,8,80,Gold Coast,16,11,107,Perth Stadium,-27,2022,Regular,1,R1-West Coast-Gold Coast,Gold Coast,-27,0.722307472655307,1,West Coast,72.2,$1.39,0
15993,2022-03-24,2,Western Bulldogs,13,12,90,Carlton,16,6,102,Docklands,-12,2022,Regular,2,R2-Western Bulldogs-Carlton,Carlton,-12,0.723766102255404,1,Western Bulldogs,72.4,$1.38,0
15994,2022-03-25,2,Sydney,17,5,107,Geelong,10,17,77,S.C.G.,30,2022,Regular,2,R2-Sydney-Geelong,Sydney,30,0.593421492462964,1,Sydney,59.3,$1.69,1
15995,2022-03-26,2,Collingwood,15,10,100,Adelaide,8,10,58,M.C.G.,42,2022,Regular,2,R2-Collingwood-Adelaide,Collingwood,42,0.632441171709388,1,Collingwood,63.2,$1.58,1
15996,2022-03-26,2,Essendon,10,15,75,Brisbane Lions,15,7,97,Docklands,-22,2022,Regular,2,R2-Essendon-Brisbane Lions,Brisbane Lions,-22,0.526482304301358,1,Essendon,52.6,$1.9,0
15997,2022-03-26,2,Port Adelaide,7,14,56,Hawthorn,19,6,120,Adelaide Oval,-64,2022,Regular,2,R2-Port Adelaide-Hawthorn,Hawthorn,-64,0.769937596190392,1,Port Adelaide,77,$1.3,0
15998,2022-03-26,2,Gold Coast,10,9,69,Melbourne,12,10,82,Carrara,-13,2022,Regular,2,R2-Gold Coast-Melbourne,Melbourne,-13,0.229107041325092,0,Melbourne,77.1,$1.3,1
15999,2022-03-27,2,North Melbourne,10,14,74,West Coast,8,11,59,Docklands,15,2022,Regular,2,R2-North Melbourne-West Coast,North Melbourne,15,0.550113392770914,1,North Melbourne,55,$1.82,1
16000,2022-03-27,2,Richmond,16,13,109,GWS,10,13,73,M.C.G.,36,2022,Regular,2,R2-Richmond-GWS,Richmond,36,0.575025828032904,1,Richmond,57.5,$1.74,1
16001,2022-03-27,2,Fremantle,8,7,55,St Kilda,9,11,65,Perth Stadium,-10,2022,Regular,2,R2-Fremantle-St Kilda,St Kilda,-10,0.443715363331454,0,St Kilda,55.6,$1.8,1
16002,2022-03-31,3,Western Bulldogs,9,17,71,Sydney,9,6,60,Docklands,11,2022,Regular,3,R3-Western Bulldogs-Sydney,Western Bulldogs,11,0.616606578055289,1,Western Bulldogs,61.7,$1.62,1
